Source Country,Destination Country,Path Length
Cote d'Ivoire,Bahamas,3
Cote d'Ivoire,Aruba,3
Cote d'Ivoire,Dominica,3
Cote d'Ivoire,Saint Lucia,3
Cote d'Ivoire,Northern Mariana Islands,3
Cote d'Ivoire,Guatemala,3
Cote d'Ivoire,Costa Rica,3
Cote d'Ivoire,Nicaragua,3
Cote d'Ivoire,Brunei,3
Cote d'Ivoire,Indonesia,3
Cote d'Ivoire,Macau,3
Cote d'Ivoire,Saint Kitts and Nevis,3
Cote d'Ivoire,Uruguay,3
Cote d'Ivoire,Paraguay,3
Cote d'Ivoire,Belize,3
Cote d'Ivoire,Honduras,3
Cote d'Ivoire,Guam,3
Cote d'Ivoire,Jamaica,3
Cote d'Ivoire,Suriname,3
Cote d'Ivoire,Trinidad and Tobago,3
Cote d'Ivoire,Anguilla,3
Cote d'Ivoire,British Virgin Islands,3
Cote d'Ivoire,New Zealand,3
Cote d'Ivoire,French Polynesia,3
Cote d'Ivoire,Bermuda,3
Cote d'Ivoire,Barbados,3
Cote d'Ivoire,Cayman Islands,3
Cote d'Ivoire,Turks and Caicos Islands,3
Cote d'Ivoire,El Salvador,3
Cote d'Ivoire,Gibraltar,3
Cote d'Ivoire,Grenada,3
Cote d'Ivoire,Fiji,3
Cote d'Ivoire,Bolivia,3
Cote d'Ivoire,Laos,3
Cote d'Ivoire,Palau,3
Cote d'Ivoire,Isle of Man,3
Cote d'Ivoire,Guyana,3
Cote d'Ivoire,North Korea,3
Cote d'Ivoire,Mongolia,3
Cote d'Ivoire,Papua New Guinea,3
Cote d'Ivoire,Sao Tome and Principe,3
Cote d'Ivoire,Samoa,3
Cote d'Ivoire,Kiribati,3
Cote d'Ivoire,Tuvalu,4
Cote d'Ivoire,Solomon Islands,4
Cote d'Ivoire,Vanuatu,4
Cote d'Ivoire,Tonga,4
Cote d'Ivoire,Greenland,3
Cote d'Ivoire,Cook Islands,3
Cote d'Ivoire,American Samoa,3
Cote d'Ivoire,Bhutan,3
Cote d'Ivoire,Falkland Islands,3
Cote d'Ivoire,Saint Vincent and the Grenadines,4
Cote d'Ivoire,East Timor,3
Cote d'Ivoire,New Caledonia,3
Cote d'Ivoire,Norfolk Island,4
Cote d'Ivoire,Nauru,4
Cote d'Ivoire,Marshall Islands,3
Cote d'Ivoire,Saint Pierre and Miquelon,3
Cote d'Ivoire,Faroe Islands,3
Cote d'Ivoire,Lesotho,3
Cote d'Ivoire,Swaziland,3
Cote d'Ivoire,Wallis and Futuna,4
Cote d'Ivoire,Micronesia,4
Cote d'Ivoire,Cocos (Keeling) Islands,5
Cote d'Ivoire,Christmas Island,4
Burkina Faso,Ecuador,3
Burkina Faso,Philippines,3
Burkina Faso,Australia,3
Burkina Faso,Cambodia,3
Burkina Faso,Burma,3
Burkina Faso,Bahamas,3
Burkina Faso,Aruba,3
Burkina Faso,Dominica,3
Burkina Faso,Saint Lucia,3
Burkina Faso,Northern Mariana Islands,3
Burkina Faso,Guatemala,3
Burkina Faso,Costa Rica,3
Burkina Faso,Nicaragua,3
Burkina Faso,Brunei,3
Burkina Faso,Indonesia,3
Burkina Faso,Macau,3
Burkina Faso,Saint Kitts and Nevis,3
Burkina Faso,Uruguay,3
Burkina Faso,Paraguay,3
Burkina Faso,Belize,3
Burkina Faso,Honduras,3
Burkina Faso,Guam,3
Burkina Faso,Jamaica,3
Burkina Faso,Suriname,3
Burkina Faso,Trinidad and Tobago,3
Burkina Faso,Anguilla,3
Burkina Faso,British Virgin Islands,3
Burkina Faso,New Zealand,3
Burkina Faso,French Polynesia,3
Burkina Faso,Bermuda,3
Burkina Faso,Barbados,3
Burkina Faso,Cayman Islands,3
Burkina Faso,Turks and Caicos Islands,3
Burkina Faso,El Salvador,3
Burkina Faso,Gibraltar,3
Burkina Faso,Grenada,3
Burkina Faso,Fiji,3
Burkina Faso,Bolivia,3
Burkina Faso,Laos,3
Burkina Faso,Comoros,3
Burkina Faso,Palau,3
Burkina Faso,Seychelles,3
Burkina Faso,Isle of Man,3
Burkina Faso,Botswana,3
Burkina Faso,Guyana,3
Burkina Faso,North Korea,3
Burkina Faso,Mongolia,3
Burkina Faso,Papua New Guinea,3
Burkina Faso,Sao Tome and Principe,3
Burkina Faso,Samoa,3
Burkina Faso,Kiribati,3
Burkina Faso,Tuvalu,4
Burkina Faso,Solomon Islands,4
Burkina Faso,Vanuatu,4
Burkina Faso,Tonga,4
Burkina Faso,Greenland,3
Burkina Faso,Cook Islands,3
Burkina Faso,American Samoa,3
Burkina Faso,Eritrea,3
Burkina Faso,Bhutan,3
Burkina Faso,Falkland Islands,3
Burkina Faso,Saint Vincent and the Grenadines,4
Burkina Faso,East Timor,3
Burkina Faso,New Caledonia,3
Burkina Faso,Norfolk Island,4
Burkina Faso,Nauru,4
Burkina Faso,Marshall Islands,3
Burkina Faso,Saint Pierre and Miquelon,3
Burkina Faso,Faroe Islands,3
Burkina Faso,Lesotho,3
Burkina Faso,Swaziland,3
Burkina Faso,Wallis and Futuna,4
Burkina Faso,Micronesia,4
Burkina Faso,Cocos (Keeling) Islands,5
Burkina Faso,Christmas Island,4
Ghana,Cambodia,3
Ghana,Burma,3
Ghana,French Guiana,3
Ghana,Dominica,3
Ghana,Northern Mariana Islands,3
Ghana,Macau,3
Ghana,Anguilla,3
Ghana,British Virgin Islands,3
Ghana,Central African Republic,3
Ghana,Laos,3
Ghana,Palau,3
Ghana,North Korea,3
Ghana,Mongolia,3
Ghana,Papua New Guinea,3
Ghana,Tuvalu,3
Ghana,Solomon Islands,3
Ghana,Vanuatu,3
Ghana,Tonga,3
Ghana,Greenland,3
Ghana,Bhutan,3
Ghana,Falkland Islands,3
Ghana,Saint Vincent and the Grenadines,3
Ghana,East Timor,3
Ghana,New Caledonia,3
Ghana,Norfolk Island,3
Ghana,Nauru,3
Ghana,Saint Pierre and Miquelon,3
Ghana,Faroe Islands,3
Ghana,Wallis and Futuna,3
Ghana,Micronesia,3
Ghana,Cocos (Keeling) Islands,4
Ghana,Christmas Island,3
Mali,Ecuador,3
Mali,Philippines,3
Mali,Australia,3
Mali,Cambodia,3
Mali,Burma,3
Mali,Bahamas,3
Mali,Aruba,3
Mali,Dominica,3
Mali,Saint Lucia,3
Mali,Northern Mariana Islands,3
Mali,Bangladesh,3
Mali,Nepal,3
Mali,Guatemala,3
Mali,Costa Rica,3
Mali,Afghanistan,3
Mali,Macedonia,3
Mali,Bosnia and Herzegovina,3
Mali,Nicaragua,3
Mali,Brunei,3
Mali,Indonesia,3
Mali,Macau,3
Mali,Saint Kitts and Nevis,3
Mali,Uruguay,3
Mali,Paraguay,3
Mali,Belize,3
Mali,Honduras,3
Mali,Guam,3
Mali,Jamaica,3
Mali,Suriname,3
Mali,Trinidad and Tobago,3
Mali,Tajikistan,3
Mali,Kazakhstan,3
Mali,Kyrgyzstan,3
Mali,Anguilla,3
Mali,British Virgin Islands,3
Mali,Albania,3
Mali,New Zealand,3
Mali,French Polynesia,3
Mali,Bermuda,3
Mali,Barbados,3
Mali,Cayman Islands,3
Mali,Turks and Caicos Islands,3
Mali,El Salvador,3
Mali,Gibraltar,3
Mali,Grenada,3
Mali,Fiji,3
Mali,Bolivia,3
Mali,Laos,3
Mali,Palau,3
Mali,Maldives,3
Mali,Turkmenistan,3
Mali,Isle of Man,3
Mali,Namibia,3
Mali,Guyana,3
Mali,North Korea,3
Mali,Mongolia,3
Mali,Papua New Guinea,3
Mali,Iraq,3
Mali,Samoa,3
Mali,Kiribati,3
Mali,Tuvalu,4
Mali,Solomon Islands,4
Mali,Vanuatu,4
Mali,Tonga,4
Mali,Greenland,3
Mali,Cook Islands,3
Mali,American Samoa,3
Mali,Bhutan,3
Mali,Falkland Islands,3
Mali,Saint Vincent and the Grenadines,4
Mali,East Timor,3
Mali,New Caledonia,3
Mali,Norfolk Island,4
Mali,Nauru,4
Mali,Marshall Islands,3
Mali,Saint Pierre and Miquelon,3
Mali,Faroe Islands,3
Mali,Lesotho,3
Mali,Swaziland,3
Mali,Wallis and Futuna,4
Mali,Micronesia,4
Mali,Cocos (Keeling) Islands,5
Mali,Christmas Island,4
Senegal,Cambodia,3
Senegal,Burma,3
Senegal,Dominica,3
Senegal,Northern Mariana Islands,3
Senegal,Macau,3
Senegal,Suriname,3
Senegal,Anguilla,3
Senegal,British Virgin Islands,3
Senegal,Gibraltar,3
Senegal,Laos,3
Senegal,Comoros,3
Senegal,Palau,3
Senegal,Isle of Man,3
Senegal,North Korea,3
Senegal,Mongolia,3
Senegal,Papua New Guinea,3
Senegal,Tuvalu,3
Senegal,Solomon Islands,3
Senegal,Vanuatu,3
Senegal,Tonga,3
Senegal,Greenland,3
Senegal,Eritrea,3
Senegal,Bhutan,3
Senegal,Falkland Islands,3
Senegal,Saint Vincent and the Grenadines,3
Senegal,East Timor,3
Senegal,New Caledonia,3
Senegal,Norfolk Island,3
Senegal,Nauru,3
Senegal,Saint Pierre and Miquelon,3
Senegal,Faroe Islands,3
Senegal,Wallis and Futuna,3
Senegal,Micronesia,3
Senegal,Cocos (Keeling) Islands,4
Senegal,Christmas Island,3
Benin,Ecuador,3
Benin,Philippines,3
Benin,Australia,3
Benin,Cambodia,3
Benin,Burma,3
Benin,Bahamas,3
Benin,Aruba,3
Benin,Dominica,3
Benin,Saint Lucia,3
Benin,Northern Mariana Islands,3
Benin,Bangladesh,3
Benin,Nepal,3
Benin,Guatemala,3
Benin,Costa Rica,3
Benin,Afghanistan,3
Benin,Macedonia,3
Benin,Bosnia and Herzegovina,3
Benin,Nicaragua,3
Benin,Brunei,3
Benin,Indonesia,3
Benin,Macau,3
Benin,Saint Kitts and Nevis,3
Benin,Uruguay,3
Benin,Paraguay,3
Benin,Belize,3
Benin,Honduras,3
Benin,Guam,3
Benin,Jamaica,3
Benin,Suriname,3
Benin,Trinidad and Tobago,3
Benin,Tajikistan,3
Benin,Kazakhstan,3
Benin,Kyrgyzstan,3
Benin,Libya,3
Benin,Anguilla,3
Benin,British Virgin Islands,3
Benin,Albania,3
Benin,New Zealand,3
Benin,French Polynesia,3
Benin,Bermuda,3
Benin,Barbados,3
Benin,Cayman Islands,3
Benin,Turks and Caicos Islands,3
Benin,El Salvador,3
Benin,Gibraltar,3
Benin,Grenada,3
Benin,Fiji,3
Benin,Bolivia,3
Benin,Laos,3
Benin,Palau,3
Benin,Maldives,3
Benin,Western Sahara,3
Benin,Turkmenistan,3
Benin,Isle of Man,3
Benin,Guyana,3
Benin,North Korea,3
Benin,Mongolia,3
Benin,Papua New Guinea,3
Benin,Sao Tome and Principe,3
Benin,Iraq,3
Benin,Samoa,3
Benin,Kiribati,3
Benin,Tuvalu,4
Benin,Solomon Islands,4
Benin,Vanuatu,4
Benin,Tonga,4
Benin,Greenland,3
Benin,Cook Islands,3
Benin,American Samoa,3
Benin,Bhutan,3
Benin,Falkland Islands,3
Benin,Saint Vincent and the Grenadines,4
Benin,East Timor,3
Benin,New Caledonia,3
Benin,Norfolk Island,4
Benin,Nauru,4
Benin,Marshall Islands,3
Benin,Saint Pierre and Miquelon,3
Benin,Faroe Islands,3
Benin,Lesotho,3
Benin,Swaziland,3
Benin,Wallis and Futuna,4
Benin,Micronesia,4
Benin,Cocos (Keeling) Islands,5
Benin,Christmas Island,4
Togo,Philippines,3
Togo,Gambia,3
Togo,Australia,3
Togo,Cambodia,3
Togo,Burma,3
Togo,Bahamas,3
Togo,Aruba,3
Togo,Dominica,3
Togo,Saint Lucia,3
Togo,Northern Mariana Islands,3
Togo,Bangladesh,3
Togo,Nepal,3
Togo,Guatemala,3
Togo,Costa Rica,3
Togo,Afghanistan,3
Togo,Bosnia and Herzegovina,3
Togo,Nicaragua,3
Togo,Brunei,3
Togo,Indonesia,3
Togo,Macau,3
Togo,Saint Kitts and Nevis,3
Togo,Belize,3
Togo,Honduras,3
Togo,Guam,3
Togo,Jamaica,3
Togo,Trinidad and Tobago,3
Togo,Tajikistan,3
Togo,Kazakhstan,3
Togo,Kyrgyzstan,3
Togo,Libya,3
Togo,Anguilla,3
Togo,British Virgin Islands,3
Togo,Albania,3
Togo,New Zealand,3
Togo,French Polynesia,3
Togo,Bermuda,3
Togo,Cayman Islands,3
Togo,Turks and Caicos Islands,3
Togo,El Salvador,3
Togo,Gibraltar,3
Togo,Grenada,3
Togo,Fiji,3
Togo,Laos,3
Togo,Comoros,3
Togo,Palau,3
Togo,Maldives,3
Togo,Western Sahara,3
Togo,Seychelles,3
Togo,Turkmenistan,3
Togo,Isle of Man,3
Togo,Botswana,3
Togo,Guyana,3
Togo,North Korea,3
Togo,Mongolia,3
Togo,Papua New Guinea,3
Togo,Sao Tome and Principe,3
Togo,Iraq,3
Togo,Samoa,3
Togo,Kiribati,3
Togo,Tuvalu,4
Togo,Solomon Islands,4
Togo,Vanuatu,4
Togo,Tonga,4
Togo,Greenland,3
Togo,Cook Islands,3
Togo,American Samoa,3
Togo,Eritrea,3
Togo,Bhutan,3
Togo,Falkland Islands,3
Togo,Saint Vincent and the Grenadines,3
Togo,East Timor,3
Togo,New Caledonia,3
Togo,Norfolk Island,4
Togo,Nauru,4
Togo,Marshall Islands,3
Togo,Saint Pierre and Miquelon,3
Togo,Faroe Islands,3
Togo,Lesotho,3
Togo,Swaziland,3
Togo,Wallis and Futuna,4
Togo,Micronesia,4
Togo,Cocos (Keeling) Islands,5
Togo,Christmas Island,4
Niger,Ecuador,3
Niger,Philippines,3
Niger,Australia,3
Niger,Cambodia,3
Niger,Burma,3
Niger,Bahamas,3
Niger,Aruba,3
Niger,Dominica,3
Niger,Saint Lucia,3
Niger,Northern Mariana Islands,3
Niger,Bangladesh,3
Niger,Nepal,3
Niger,Guatemala,3
Niger,Costa Rica,3
Niger,Afghanistan,3
Niger,Macedonia,3
Niger,Bosnia and Herzegovina,3
Niger,Nicaragua,3
Niger,Brunei,3
Niger,Indonesia,3
Niger,Macau,3
Niger,Saint Kitts and Nevis,3
Niger,Uruguay,3
Niger,Paraguay,3
Niger,Belize,3
Niger,Honduras,3
Niger,Guam,3
Niger,Jamaica,3
Niger,Suriname,3
Niger,Trinidad and Tobago,3
Niger,Tajikistan,3
Niger,Kazakhstan,3
Niger,Kyrgyzstan,3
Niger,Anguilla,3
Niger,British Virgin Islands,3
Niger,Albania,3
Niger,New Zealand,3
Niger,French Polynesia,3
Niger,Bermuda,3
Niger,Barbados,3
Niger,Cayman Islands,3
Niger,Turks and Caicos Islands,3
Niger,El Salvador,3
Niger,Gibraltar,3
Niger,Grenada,3
Niger,Fiji,3
Niger,Bolivia,3
Niger,Burundi,3
Niger,Laos,3
Niger,Comoros,3
Niger,Palau,3
Niger,Maldives,3
Niger,Seychelles,3
Niger,Turkmenistan,3
Niger,Isle of Man,3
Niger,Namibia,3
Niger,Botswana,3
Niger,Guyana,3
Niger,North Korea,3
Niger,Mongolia,3
Niger,Papua New Guinea,3
Niger,Sao Tome and Principe,3
Niger,Iraq,3
Niger,Samoa,3
Niger,Kiribati,3
Niger,Tuvalu,4
Niger,Solomon Islands,4
Niger,Vanuatu,4
Niger,Tonga,4
Niger,Greenland,3
Niger,Cook Islands,3
Niger,American Samoa,3
Niger,Eritrea,3
Niger,Bhutan,3
Niger,Falkland Islands,3
Niger,Saint Vincent and the Grenadines,4
Niger,East Timor,3
Niger,New Caledonia,3
Niger,Norfolk Island,4
Niger,Nauru,4
Niger,Marshall Islands,3
Niger,Saint Pierre and Miquelon,3
Niger,Faroe Islands,3
Niger,Lesotho,3
Niger,Swaziland,3
Niger,Wallis and Futuna,4
Niger,Micronesia,4
Niger,Cocos (Keeling) Islands,5
Niger,Christmas Island,4
Colombia,Sierra Leone,3
Colombia,Guinea-Bissau,3
Colombia,Somalia,3
Colombia,Cambodia,3
Colombia,Burma,3
Colombia,Northern Mariana Islands,3
Colombia,Bangladesh,3
Colombia,Nepal,3
Colombia,Afghanistan,3
Colombia,South Sudan,3
Colombia,Tanzania,3
Colombia,Brunei,3
Colombia,Indonesia,3
Colombia,Macau,3
Colombia,Kyrgyzstan,3
Colombia,Uganda,3
Colombia,Gibraltar,3
Colombia,Burundi,3
Colombia,Rwanda,3
Colombia,Zimbabwe,3
Colombia,Laos,3
Colombia,Comoros,3
Colombia,Zambia,3
Colombia,Malawi,3
Colombia,Palau,3
Colombia,Sudan,3
Colombia,Isle of Man,3
Colombia,Botswana,3
Colombia,North Korea,3
Colombia,Mongolia,3
Colombia,Papua New Guinea,3
Colombia,Sao Tome and Principe,3
Colombia,Yemen,3
Colombia,Mozambique,3
Colombia,Tuvalu,3
Colombia,Solomon Islands,3
Colombia,Vanuatu,3
Colombia,Tonga,3
Colombia,Greenland,3
Colombia,Eritrea,3
Colombia,Bhutan,3
Colombia,Saint Vincent and the Grenadines,3
Colombia,East Timor,3
Colombia,New Caledonia,3
Colombia,Norfolk Island,3
Colombia,Nauru,3
Colombia,Faroe Islands,3
Colombia,Lesotho,3
Colombia,Swaziland,3
Colombia,Wallis and Futuna,3
Colombia,Micronesia,3
Colombia,Cocos (Keeling) Islands,4
Colombia,Christmas Island,3
Ecuador,Azerbaijan,3
Ecuador,Cote d'Ivoire,3
Ecuador,Burkina Faso,3
Ecuador,Mali,3
Ecuador,Benin,3
Ecuador,Niger,3
Ecuador,Liberia,3
Ecuador,Sierra Leone,3
Ecuador,Guinea,3
Ecuador,Guinea-Bissau,3
Ecuador,Cameroon,3
Ecuador,Djibouti,3
Ecuador,Somalia,3
Ecuador,Cambodia,3
Ecuador,Burma,3
Ecuador,Vietnam,3
Ecuador,Uzbekistan,3
Ecuador,Montenegro,3
Ecuador,Dominica,3
Ecuador,Northern Mariana Islands,3
Ecuador,Bangladesh,3
Ecuador,Oman,3
Ecuador,Nepal,3
Ecuador,Afghanistan,3
Ecuador,Bosnia and Herzegovina,3
Ecuador,South Sudan,3
Ecuador,Brunei,3
Ecuador,Indonesia,3
Ecuador,Macau,3
Ecuador,Armenia,3
Ecuador,Tajikistan,3
Ecuador,Kyrgyzstan,3
Ecuador,Chad,3
Ecuador,Anguilla,3
Ecuador,British Virgin Islands,3
Ecuador,Moldova,3
Ecuador,Bahrain,3
Ecuador,Sri Lanka,3
Ecuador,Albania,3
Ecuador,Uganda,3
Ecuador,Gibraltar,3
Ecuador,Burundi,3
Ecuador,Congo (Kinshasa),3
Ecuador,Lebanon,3
Ecuador,Central African Republic,3
Ecuador,Laos,3
Ecuador,Congo (Brazzaville),3
Ecuador,Gabon,3
Ecuador,Mauritius,3
Ecuador,Madagascar,3
Ecuador,Mayotte,3
Ecuador,Comoros,3
Ecuador,Zambia,3
Ecuador,Malawi,3
Ecuador,Reunion,3
Ecuador,Palau,3
Ecuador,Maldives,3
Ecuador,Sudan,3
Ecuador,Seychelles,3
Ecuador,Turkmenistan,3
Ecuador,Isle of Man,3
Ecuador,Namibia,3
Ecuador,Botswana,3
Ecuador,North Korea,3
Ecuador,Mongolia,3
Ecuador,Papua New Guinea,3
Ecuador,Sao Tome and Principe,3
Ecuador,Yemen,3
Ecuador,Mozambique,3
Ecuador,Tuvalu,3
Ecuador,Solomon Islands,3
Ecuador,Vanuatu,3
Ecuador,Tonga,3
Ecuador,Greenland,3
Ecuador,Eritrea,3
Ecuador,Bhutan,3
Ecuador,Saint Vincent and the Grenadines,3
Ecuador,East Timor,3
Ecuador,New Caledonia,3
Ecuador,Norfolk Island,3
Ecuador,Nauru,3
Ecuador,Saint Pierre and Miquelon,3
Ecuador,Faroe Islands,3
Ecuador,Lesotho,3
Ecuador,Swaziland,3
Ecuador,Wallis and Futuna,3
Ecuador,Micronesia,3
Ecuador,Cocos (Keeling) Islands,4
Ecuador,Christmas Island,3
Italy,Dominica,3
Italy,Anguilla,3
Italy,British Virgin Islands,3
Italy,Comoros,3
Italy,Botswana,3
Italy,Tuvalu,3
Italy,Solomon Islands,3
Italy,Vanuatu,3
Italy,Tonga,3
Italy,Saint Vincent and the Grenadines,3
Italy,Norfolk Island,3
Italy,Nauru,3
Italy,Lesotho,3
Italy,Swaziland,3
Italy,Wallis and Futuna,3
Italy,Micronesia,3
Italy,Cocos (Keeling) Islands,4
Italy,Christmas Island,3
Switzerland,Dominica,3
Switzerland,Anguilla,3
Switzerland,British Virgin Islands,3
Switzerland,Tuvalu,3
Switzerland,Solomon Islands,3
Switzerland,Vanuatu,3
Switzerland,Tonga,3
Switzerland,Falkland Islands,3
Switzerland,Saint Vincent and the Grenadines,3
Switzerland,Norfolk Island,3
Switzerland,Nauru,3
Switzerland,Wallis and Futuna,3
Switzerland,Micronesia,3
Switzerland,Cocos (Keeling) Islands,4
Switzerland,Christmas Island,3
France,Tuvalu,3
France,Solomon Islands,3
France,Vanuatu,3
France,Tonga,3
France,Saint Vincent and the Grenadines,3
France,Norfolk Island,3
France,Nauru,3
France,Wallis and Futuna,3
France,Micronesia,3
France,Cocos (Keeling) Islands,4
France,Christmas Island,3
United Kingdom,British Virgin Islands,3
United Kingdom,Tuvalu,3
United Kingdom,Solomon Islands,3
United Kingdom,Vanuatu,3
United Kingdom,Tonga,3
United Kingdom,Norfolk Island,3
United Kingdom,Nauru,3
United Kingdom,Wallis and Futuna,3
United Kingdom,Micronesia,3
United Kingdom,Cocos (Keeling) Islands,4
United Kingdom,Christmas Island,3
Spain,Dominica,3
Spain,Anguilla,3
Spain,British Virgin Islands,3
Spain,Comoros,3
Spain,Malawi,3
Spain,Botswana,3
Spain,Tuvalu,3
Spain,Solomon Islands,3
Spain,Vanuatu,3
Spain,Tonga,3
Spain,Bhutan,3
Spain,Saint Vincent and the Grenadines,3
Spain,New Caledonia,3
Spain,Norfolk Island,3
Spain,Nauru,3
Spain,Lesotho,3
Spain,Swaziland,3
Spain,Wallis and Futuna,3
Spain,Micronesia,3
Spain,Cocos (Keeling) Islands,4
Spain,Christmas Island,3
Cyprus,Gambia,3
Cyprus,Guinea-Bissau,3
Cyprus,Cambodia,3
Cyprus,Dominica,3
Cyprus,Northern Mariana Islands,3
Cyprus,Guatemala,3
Cyprus,Costa Rica,3
Cyprus,Nicaragua,3
Cyprus,Macau,3
Cyprus,Saint Kitts and Nevis,3
Cyprus,Uruguay,3
Cyprus,Paraguay,3
Cyprus,Belize,3
Cyprus,Honduras,3
Cyprus,Guam,3
Cyprus,Anguilla,3
Cyprus,British Virgin Islands,3
Cyprus,New Zealand,3
Cyprus,French Polynesia,3
Cyprus,Cayman Islands,3
Cyprus,Turks and Caicos Islands,3
Cyprus,El Salvador,3
Cyprus,Grenada,3
Cyprus,Fiji,3
Cyprus,Bolivia,3
Cyprus,Laos,3
Cyprus,Equatorial Guinea,3
Cyprus,Comoros,3
Cyprus,Malawi,3
Cyprus,Palau,3
Cyprus,Western Sahara,3
Cyprus,Botswana,3
Cyprus,Guyana,3
Cyprus,Papua New Guinea,3
Cyprus,Sao Tome and Principe,3
Cyprus,Mozambique,3
Cyprus,Samoa,3
Cyprus,Kiribati,3
Cyprus,Tuvalu,4
Cyprus,Solomon Islands,3
Cyprus,Vanuatu,3
Cyprus,Tonga,3
Cyprus,Greenland,3
Cyprus,Cook Islands,3
Cyprus,American Samoa,3
Cyprus,Bhutan,3
Cyprus,Falkland Islands,3
Cyprus,Saint Vincent and the Grenadines,3
Cyprus,East Timor,3
Cyprus,New Caledonia,3
Cyprus,Norfolk Island,3
Cyprus,Nauru,3
Cyprus,Marshall Islands,3
Cyprus,Saint Pierre and Miquelon,3
Cyprus,Lesotho,3
Cyprus,Swaziland,3
Cyprus,Wallis and Futuna,4
Cyprus,Micronesia,4
Cyprus,Cocos (Keeling) Islands,4
Cyprus,Christmas Island,3
Egypt,Dominica,3
Egypt,Anguilla,3
Egypt,British Virgin Islands,3
Egypt,Palau,3
Egypt,Sao Tome and Principe,3
Egypt,Tuvalu,3
Egypt,Solomon Islands,3
Egypt,Vanuatu,3
Egypt,Tonga,3
Egypt,Falkland Islands,3
Egypt,Saint Vincent and the Grenadines,3
Egypt,New Caledonia,3
Egypt,Norfolk Island,3
Egypt,Nauru,3
Egypt,Wallis and Futuna,3
Egypt,Micronesia,3
Egypt,Cocos (Keeling) Islands,4
Egypt,Christmas Island,3
Sweden,Dominica,3
Sweden,Anguilla,3
Sweden,British Virgin Islands,3
Sweden,Comoros,3
Sweden,Palau,3
Sweden,Botswana,3
Sweden,Papua New Guinea,3
Sweden,Tuvalu,3
Sweden,Solomon Islands,3
Sweden,Vanuatu,3
Sweden,Tonga,3
Sweden,Eritrea,3
Sweden,Bhutan,3
Sweden,Falkland Islands,3
Sweden,Saint Vincent and the Grenadines,3
Sweden,East Timor,3
Sweden,New Caledonia,3
Sweden,Norfolk Island,3
Sweden,Nauru,3
Sweden,Saint Pierre and Miquelon,3
Sweden,Lesotho,3
Sweden,Swaziland,3
Sweden,Wallis and Futuna,3
Sweden,Micronesia,3
Sweden,Cocos (Keeling) Islands,4
Sweden,Christmas Island,3
Finland,Guinea-Bissau,3
Finland,Somalia,3
Finland,Dominica,3
